feature,value,1,2,3,4,5,6,7
attn_0_0_outputs,0,0.91872656,3.3118846,-0.76613134,-0.20574644,-2.73448,-5.3143973,-1.9030331
attn_0_0_outputs,1,1.006823,3.0180364,-1.3493742,-1.0568882,-4.1551666,-6.9052787,-7.7485037
attn_0_0_outputs,10,0.6314995,-0.2546277,0.5455607,0.74795383,-0.664601,0.5403246,-0.13193162
attn_0_0_outputs,11,-0.07709506,0.4951295,0.776865,0.15344183,-0.5178841,-0.34079507,-0.5224598
attn_0_0_outputs,12,1.128677,-0.15330556,0.5929357,0.09005732,-0.46535385,-0.7402269,-0.2753211
attn_0_0_outputs,13,0.43773445,0.5792702,0.4277123,0.1198058,-0.53105664,-0.5791964,0.09392202
attn_0_0_outputs,14,0.55435455,0.07994342,0.6042428,0.7228247,-0.9722038,-0.31821483,-0.5836371
attn_0_0_outputs,15,1.0168974,0.36325598,0.3986485,0.022077596,-0.3181201,-1.1129769,-0.44046277
attn_0_0_outputs,16,-0.16628782,0.92058414,0.16241324,0.44444403,-1.0834036,-0.38320076,-0.367153
attn_0_0_outputs,17,1.05268,0.22234204,0.13952403,0.30311957,-0.82920045,-0.8059565,-0.72991914
attn_0_0_outputs,18,0.9845216,0.07324394,-0.26725772,-0.62828934,0.08826948,-0.8402484,-0.7401698
attn_0_0_outputs,19,0.41367847,0.38313863,0.7442747,-0.92312396,-0.08320425,-0.45685977,-0.358288
attn_0_0_outputs,2,1.0270374,3.2031686,-1.2166107,-1.049841,-3.944758,-6.552254,-7.548028
attn_0_0_outputs,3,0.90218943,2.929744,-1.4236679,-1.1571684,-4.0092826,-7.5841246,-8.014722
attn_0_0_outputs,4,0.913203,3.021626,-1.3548033,-1.2229892,-4.033012,-7.404686,-5.7212834
attn_0_0_outputs,5,0.988918,3.6982324,-0.6319229,-0.32789546,-3.1111636,-6.1747646,-15.194055
attn_0_0_outputs,6,0.6968145,2.8260572,-1.339573,-0.9929305,-3.953471,-6.8618407,-9.256016
attn_0_0_outputs,7,0.9645692,3.3726094,-0.68324906,-0.3467038,-3.278095,-7.271573,-7.3658385
attn_0_0_outputs,8,0.65106326,3.3532166,-0.83730674,0.23241742,-2.34433,-4.6317606,-6.842265
attn_0_0_outputs,9,1.3163571,4.230631,0.24335521,0.911375,-1.5920343,-6.350448,-3.1654723
attn_0_1_outputs,0,1.3216219,3.4598036,-0.48902518,-0.24852926,-3.5380003,-6.18267,-5.928184
attn_0_1_outputs,1,1.6792797,3.3252265,-0.4667936,-0.5967091,-3.9001296,-7.4965854,-11.353947
attn_0_1_outputs,2,0.83724445,2.8431728,-0.6371481,0.16800292,-3.0463347,-5.322648,-5.8454847
attn_0_1_outputs,3,1.0102148,2.6488142,-1.1678113,-0.3701446,-3.576587,-5.7806873,-12.264993
attn_0_1_outputs,4,0.31458172,2.5321438,-0.5895441,-0.51740736,-2.5429976,-4.7335873,-2.9578261
attn_0_1_outputs,5,0.4380235,2.6166878,-0.70558345,1.0640987,-1.7386132,-4.956249,-1.5969064
attn_0_1_outputs,<pad>,-0.37122658,2.0027032,-1.5194461,0.06368897,-2.1348557,-5.4690695,-4.8668156
attn_0_1_outputs,<s>,1.6345469,3.2411914,-0.48726055,-0.27860823,-3.3896475,-6.3089113,-6.504655
attn_0_1_outputs,_,-1.0438768,1.7315862,-1.5752571,-0.44544396,-2.1886184,-4.5808935,-4.5566826
attn_0_1_outputs,_,-0.4304851,2.2557473,-0.7957189,0.9062493,-2.0592432,-4.4821057,-4.2340803
attn_0_1_outputs,_,0.38560054,0.031722166,0.5822678,-0.3072184,0.314615,-0.85752153,-0.31635174
attn_0_1_outputs,_,0.6077535,0.064602315,0.29875836,-0.47648954,-0.26393753,-0.6685144,-0.4799524
attn_0_1_outputs,_,0.7285986,0.66305184,0.4163333,0.10696915,-0.16815911,0.048537206,-0.7130117
attn_0_1_outputs,_,0.115498416,0.11486389,0.73996454,-0.037277125,-0.33158034,-0.56484574,-0.21458949
attn_0_1_outputs,_,0.532344,0.10403759,-0.19285576,-0.24622597,-0.3697867,-0.8981464,-0.989258
attn_0_1_outputs,_,-0.49759597,0.918986,-0.2334822,-0.047134295,-0.5527691,-1.3922482,-0.44706383
attn_0_1_outputs,_,-0.26445273,0.81939244,-0.84215975,0.4088122,-0.45404306,-0.03465614,-0.47474796
attn_0_1_outputs,_,0.59393984,0.5891758,-0.27121025,0.07161793,0.12091915,-0.26400375,-0.60325074
attn_0_1_outputs,_,0.26288748,0.6420352,-0.30420995,0.20420201,-0.9553539,-0.2407411,-0.51608765
attn_0_1_outputs,_,0.85491127,0.5870617,0.3546177,-0.32337865,-0.88664776,-0.17942056,-0.28101978
attn_0_2_outputs,0,1.6014881,3.6067715,-0.64388067,-0.69026905,-3.815666,-6.389038,-8.50061
attn_0_2_outputs,1,1.1472372,2.870296,-1.2263279,-0.32246223,-3.735334,-7.146433,-7.6516914
attn_0_2_outputs,10,0.49085465,0.33099437,0.056658816,-0.3926199,-0.53854257,-0.37213606,-0.4958338
attn_0_2_outputs,11,1.1485337,0.5723009,-0.2905471,0.06501868,-0.1274428,-0.1324619,-0.5759995
attn_0_2_outputs,12,1.1659412,0.24371554,0.6479217,-1.1522568,-0.42955196,-0.681605,0.06334717
attn_0_2_outputs,13,0.62203825,0.28189903,-0.0028091867,-0.31106377,-0.4340576,-0.635741,-0.87867665
attn_0_2_outputs,14,1.1833726,-0.17717777,-0.21629871,-0.3630786,-0.6328332,-0.23119806,-0.50778705
attn_0_2_outputs,15,0.17084129,0.35671586,0.8904016,0.22631104,-0.41113147,-0.49320436,-0.023484042
attn_0_2_outputs,16,0.69821215,1.0477672,-0.15715717,0.15260205,-0.3560226,-0.29572797,-0.04483708
attn_0_2_outputs,17,0.53007907,-0.33672082,-0.2836579,-0.29217935,-0.658993,-0.24194272,0.027677217
attn_0_2_outputs,18,0.3686418,0.32893965,0.21358767,-0.36775157,-0.05017042,-0.49538985,0.2871725
attn_0_2_outputs,19,0.24847658,0.6598523,-0.5611664,-0.2294143,-1.0951763,-0.88361406,-0.41744125
attn_0_2_outputs,2,1.1474824,2.8257897,-1.2916311,-0.9590561,-4.017437,-8.131383,-6.4157104
attn_0_2_outputs,3,1.4639583,2.8735566,-1.25112,-0.27661237,-3.3126304,-5.5610623,-6.8758535
attn_0_2_outputs,4,1.4411788,3.0621965,-1.3325113,-0.22745582,-3.2827342,-5.036995,-11.806054
attn_0_2_outputs,5,1.2049131,2.8366792,-1.1656154,-0.44852412,-3.2322714,-5.5937214,-11.370556
attn_0_2_outputs,6,0.84184945,3.1523504,-0.4809275,-0.22126305,-2.6859028,-6.724096,-0.3441634
attn_0_2_outputs,7,0.4875201,2.9400747,-1.2980957,-0.20125422,-3.20405,-5.4688416,-11.005938
attn_0_2_outputs,8,0.36348042,2.5022008,-1.4266291,0.45737284,-2.5003827,-4.4917088,-10.822066
attn_0_2_outputs,9,0.6428114,2.7568452,-0.9381997,0.84209424,-1.9256963,-3.2839937,-5.5834394
attn_0_3_outputs,0,1.7100633,3.6833136,-0.46718785,-0.86280346,-4.1043744,-6.322743,-7.5644755
attn_0_3_outputs,1,0.8679807,2.84257,-0.97891057,-1.1414793,-4.195982,-7.797263,-7.363091
attn_0_3_outputs,10,0.6597893,-0.2559607,-0.42450848,-0.08754539,-0.3684815,-0.13223039,-0.37945268
attn_0_3_outputs,11,1.0227914,-0.2597806,0.08790744,-0.105074376,-0.6081552,-0.36204273,-0.5834171
attn_0_3_outputs,12,0.7058599,-0.04626272,-0.032746926,-0.2802544,-0.06531484,-0.56651664,-0.323251
attn_0_3_outputs,13,1.2627774,0.38300192,-0.1899429,-0.9619967,-0.91325855,-0.80823547,0.11876123
attn_0_3_outputs,14,0.65521854,0.6304732,-0.20403913,-1.0649761,-0.66857636,-1.0934108,-0.5173622
attn_0_3_outputs,15,0.4575105,0.83203816,-0.54506385,0.05913567,0.6043897,-0.7286762,0.1837869
attn_0_3_outputs,16,0.61472607,0.317267,0.35239467,-0.03423992,-0.4072131,-0.5030072,-0.50969917
attn_0_3_outputs,17,0.36777213,0.41275552,0.269913,0.3926517,-0.38540673,-0.13434145,-0.4766814
attn_0_3_outputs,18,0.44575503,0.8630012,-0.01422176,-0.17189401,-0.32317445,-0.005947446,0.009262795
attn_0_3_outputs,19,0.5014773,-0.14594728,0.12512578,-0.47727945,-0.033752296,-0.598641,-0.43352327
attn_0_3_outputs,2,1.5002868,3.16574,-0.70014316,-0.57283014,-3.4270778,-6.9259853,-8.123973
attn_0_3_outputs,3,0.68466157,2.9741457,-0.794587,-0.7369003,-3.902718,-7.6207027,-7.4511805
attn_0_3_outputs,4,1.1530466,2.9325237,-0.8861916,-0.82520777,-4.0239253,-7.91277,-5.7048903
attn_0_3_outputs,5,1.0432441,3.1464014,-0.81241244,-0.20368735,-3.241199,-7.288889,-10.471302
attn_0_3_outputs,6,0.7217354,3.0476418,-0.7952615,-0.6289953,-3.6993492,-5.50952,-5.629098
attn_0_3_outputs,7,0.93037164,2.6821802,-1.132385,0.13620085,-3.067739,-4.184355,-7.9814453
attn_0_3_outputs,8,0.71062255,3.1919336,-0.36625805,0.056418207,-2.6731381,-4.469828,-6.2151217
attn_0_3_outputs,9,1.1294776,2.943633,-0.3245521,0.9281577,-2.0780444,-8.566459,0.9440765
mlp_0_0_outputs,0,0.377161,0.5660925,0.039528053,0.15950337,-1.109644,-0.7779701,-0.8977948
mlp_0_0_outputs,1,0.6358583,0.58955526,0.14980672,0.050102215,-1.4711411,-1.6586697,0.0527241
mlp_0_0_outputs,10,1.1588115,1.1023147,0.21087213,0.7118153,-1.8406684,-3.7073517,-1.8981441
mlp_0_0_outputs,11,0.5203259,-0.14608887,-0.31613562,-1.1701275,-1.2143728,-0.24755095,0.3416313
mlp_0_0_outputs,12,0.8038327,0.5807672,0.099088244,-0.4023349,-1.7370186,-1.224252,-1.0993553
mlp_0_0_outputs,13,0.9202836,0.76774687,0.2859089,0.16166049,-1.7452469,-2.0306818,-0.85823226
mlp_0_0_outputs,14,0.8368228,0.27878723,-0.16724992,-0.59514767,-0.62851286,-1.0296069,-0.5458449
mlp_0_0_outputs,15,0.9930721,0.81336707,0.18954547,0.5723895,-2.6479335,-4.189179,-2.611419
mlp_0_0_outputs,16,0.31642312,0.33347437,-0.4324652,-0.7721462,-0.8817099,-0.3343128,-0.4388032
mlp_0_0_outputs,17,1.0683547,0.8676597,-0.0058076004,0.23504154,-2.568834,-4.297211,-3.2751508
mlp_0_0_outputs,18,0.69669336,0.82197934,0.22418378,0.11594707,-1.3361176,-0.47090995,-0.7002067
mlp_0_0_outputs,19,0.6870634,0.46399882,0.009162992,0.17682044,-2.1427665,-0.93399215,-0.73360974
mlp_0_0_outputs,2,0.774359,0.5921659,-0.013094049,-0.9070493,-1.1522464,-0.8610071,-0.44967586
mlp_0_0_outputs,3,0.79197085,0.73657733,0.22749075,0.11721775,-1.645792,-1.709312,-0.24766731
mlp_0_0_outputs,4,0.79920536,0.4676414,-0.013762827,-0.6047172,-1.866171,-0.76819897,-0.4657234
mlp_0_0_outputs,5,0.63604194,0.47875476,0.062218204,-0.02461818,-1.728342,-1.4516022,-0.20039997
mlp_0_0_outputs,6,0.49918652,0.5726189,-0.12628941,-0.13433924,-1.1900793,-0.03431444,-0.12029408
mlp_0_0_outputs,7,0.6040439,0.18839887,-0.20679516,-0.51642156,-0.8694978,-0.9403858,-0.47474658
mlp_0_0_outputs,8,2.0823867,3.5922256,-0.68225765,-0.015825827,-6.022972,-15.303318,-15.343749
mlp_0_0_outputs,9,0.14469187,0.05258035,-0.102630936,0.57843864,-1.4571618,-1.1410238,-0.0595827
mlp_0_1_outputs,0,1.291906,0.7701713,0.15622997,-0.27547172,-2.630548,-2.5844352,-1.7904615
mlp_0_1_outputs,1,0.9370764,0.14445545,-0.16159436,-0.80349094,-1.3380114,-0.20831518,0.06156172
mlp_0_1_outputs,10,3.0642712,3.9015644,-0.2211012,0.8105809,-5.686871,-14.234533,-16.017502
mlp_0_1_outputs,11,0.62702286,0.29462498,-0.20120579,-0.6058638,-1.4525326,-1.3167791,-0.06621033
mlp_0_1_outputs,12,0.96595114,0.6537605,0.1576428,0.049733553,-1.7507157,-1.2643692,-0.73151594
mlp_0_1_outputs,13,1.1184574,0.5481748,0.01773655,-0.059118263,-1.937543,-2.191422,-1.5249333
mlp_0_1_outputs,14,0.7662222,0.41746038,-0.14561115,-0.23059402,-1.4815273,-0.9099865,0.60091466
mlp_0_1_outputs,15,1.134636,0.4014822,-0.17568548,-0.63960415,-1.4881448,-0.67196345,0.06689432
mlp_0_1_outputs,16,0.8287324,0.6402134,0.23738123,-0.18409365,-1.0504686,-0.9191804,-0.007393938
mlp_0_1_outputs,17,0.62564784,0.38374418,-0.06174309,-0.19359624,-1.5661644,-1.083019,0.6180085
mlp_0_1_outputs,18,1.1914223,0.50107276,0.055187576,-0.22554047,-1.8154612,-1.7479017,-0.36274192
mlp_0_1_outputs,19,1.3183945,1.9714019,-0.24866799,1.1215198,-2.9714918,-6.479993,-4.8391848
mlp_0_1_outputs,2,0.8957424,0.3083939,0.14104295,-0.3442623,-1.4110637,-0.62596506,-0.6282506
mlp_0_1_outputs,3,0.82745415,0.3487318,-0.21093829,-0.85465646,-1.0458021,0.3933497,0.50065506
mlp_0_1_outputs,4,1.2008219,0.52657217,0.042854074,-0.53107125,-2.370476,-1.7341372,-0.8672527
mlp_0_1_outputs,5,0.90961736,0.5688721,0.09649501,-0.14466104,-1.0282122,-0.3493157,-0.110914536
mlp_0_1_outputs,6,0.68097025,0.15662073,-0.10926547,-0.75742555,-1.6223745,-0.35867923,-0.13339524
mlp_0_1_outputs,7,0.8887993,0.5292672,0.2009837,0.08957959,-1.8853405,-1.7451332,-0.30151168
mlp_0_1_outputs,8,0.999824,0.50375307,0.079097494,-0.30854163,-2.0781229,-1.7943228,-0.52594966
mlp_0_1_outputs,9,0.7726053,0.766082,0.22725686,0.09958001,-1.4133521,-1.1628802,-0.18389435
num_attn_0_0_outputs,_,1.2055295,0.8528583,0.6020496,-0.21482727,-0.6300628,-1.0868362,-10.7382765
num_attn_0_1_outputs,_,1.0792865,0.70878744,0.4396512,-0.24960726,-0.59715617,-1.6633716,0.37373173
num_attn_0_2_outputs,_,-7.9318027,-6.472136,5.0143414,2.7881963,11.426895,16.395096,14.083558
num_attn_0_3_outputs,_,-4.967141,-3.531258,1.490849,1.6592195,4.113774,7.843013,10.482777
num_mlp_0_0_outputs,0,5.725658,-2.9801137,-1.2351758,-1.2246574,-0.0849401,0.36459357,-0.38102546
num_mlp_0_0_outputs,1,3.8084998,-1.9453315,-0.6224616,-1.4009564,0.018982984,-0.4185684,0.00037178444
num_mlp_0_0_outputs,10,1.663311,-0.56744075,-0.3285679,-0.49237725,-0.18160026,-0.30039158,-0.41452685
num_mlp_0_0_outputs,11,1.9279522,-0.6568104,-0.31146762,-0.6974903,-0.17130625,-0.44263056,-0.95139444
