feature,value,1,2,3,4,5,6,7
attn_0_0_outputs,0,2.6915407,2.993491,1.4664866,-3.2643535,-5.350337,-17.254833,-7.5578804
attn_0_0_outputs,1,1.1945741,1.2588656,1.3989428,-1.8871384,-3.3683178,-4.1166973,-4.165819
attn_0_0_outputs,10,0.7767152,0.30805182,0.6971337,-0.20395415,-0.48781163,-0.34440485,-1.1243507
attn_0_0_outputs,11,0.23110469,1.0454228,0.33441943,-0.67785484,-0.24634278,-0.7376128,-0.70161736
attn_0_0_outputs,12,0.5272325,0.0070904945,0.0059446786,-0.034962445,-1.0094433,-0.7635531,-0.18478163
attn_0_0_outputs,13,1.2853153,0.71305764,0.005257356,-0.63578284,-0.43383873,-1.3567693,-1.042265
attn_0_0_outputs,14,0.14451995,0.93493026,0.28350458,-0.31583607,-0.7469988,-0.7768137,-0.16934417
attn_0_0_outputs,15,0.83010656,0.009191446,-0.029327959,0.08354746,-0.70917594,-0.0448012,-0.3131995
attn_0_0_outputs,16,0.7605674,1.0033504,0.2022239,-0.35944453,-0.19154148,0.050852127,-0.27036917
attn_0_0_outputs,17,0.4755757,0.8414307,0.04399167,-0.45360664,-0.50548625,-0.9476489,-0.6812598
attn_0_0_outputs,18,0.8507326,0.52333826,-0.113320135,-0.16950056,-0.80175906,-1.500799,-0.7068819
attn_0_0_outputs,19,0.5114181,0.7780003,0.28463045,0.6518949,0.0918981,-0.6821336,-0.4303167
attn_0_0_outputs,2,1.2811016,1.335639,1.4992903,-1.7976168,-3.3974173,-4.0546856,-3.7097745
attn_0_0_outputs,3,3.9598072,3.7256362,1.5468074,-4.391195,-8.022658,-10.670136,-11.509881
attn_0_0_outputs,4,1.5747129,1.3498701,1.5777564,-1.7933717,-3.1647997,-3.4410388,-3.0377657
attn_0_0_outputs,5,2.659827,3.3296187,1.9728854,-3.0641367,-6.7891035,-10.986117,-9.901079
attn_0_0_outputs,6,1.4908438,1.6522057,1.9342276,-1.4017472,-2.9923742,-4.613109,-3.36157
attn_0_0_outputs,7,1.5756011,1.6955763,1.7255716,-1.4675575,-3.0691342,-4.132828,-2.9552605
attn_0_0_outputs,8,3.3013964,3.311085,1.8921336,-2.652127,-4.55446,-6.0885954,-15.102152
attn_0_0_outputs,9,2.387226,3.118025,1.889236,-2.7418768,-4.4824467,-0.9253015,-10.659959
attn_0_1_outputs,0,1.9431481,2.9913373,0.76164925,-4.02432,-6.4094043,-9.0491,-6.3256745
attn_0_1_outputs,1,2.0296226,3.4371264,1.0921032,-3.9211056,-6.4019103,-10.444014,-9.703228
attn_0_1_outputs,10,0.6484954,0.33362916,0.19336364,-0.5356394,-0.13687205,0.10644484,-0.70368093
attn_0_1_outputs,11,0.74987096,0.48274714,-0.010810864,-1.2264792,-0.45436853,-0.7914038,-0.23317672
attn_0_1_outputs,12,0.7220761,0.35677716,-0.49428484,-0.37329,-0.5974722,-0.49105835,-0.5819604
attn_0_1_outputs,13,1.7188634,0.59886813,-0.81998485,-1.0659157,-0.5853285,-0.17762361,-0.17701788
attn_0_1_outputs,14,1.1497701,0.52949625,-0.14349288,-0.7853403,0.09931755,-0.20478761,-1.1073726
attn_0_1_outputs,15,0.7765075,-0.007887333,0.092385374,-0.34015524,-0.22891052,-0.7222007,-0.3141676
attn_0_1_outputs,16,0.15151973,0.60743916,-0.6733085,-0.12570676,0.24362656,-1.3463911,-0.9005897
attn_0_1_outputs,17,0.90689915,0.04156968,-0.049728777,-0.7685804,-0.8694629,-0.5121641,-0.41809446
attn_0_1_outputs,18,1.3500366,-0.13022642,-0.25143853,-0.6584045,-0.112160265,-0.24977578,-0.5369069
attn_0_1_outputs,19,0.7315046,0.27605343,-0.86235607,-0.016085735,0.21978362,0.19661048,0.27722806
attn_0_1_outputs,2,2.073957,3.6251712,1.3147527,-3.589905,-6.14101,-9.172173,-8.877433
attn_0_1_outputs,3,1.8504944,3.3714507,1.0665851,-3.8569307,-6.391399,-9.198416,-8.716682
attn_0_1_outputs,4,2.1043506,3.5099769,1.18585,-3.7035503,-6.2992067,-10.305216,-9.478052
