feature,value,0,1,2,3,4,5,<s>
attn_0_0_outputs,0,-0.39392665,-0.15661931,-0.33654636,0.041269295,-0.29823604,-0.21634878,0.6136248
attn_0_0_outputs,1,0.06839512,0.063251585,0.1997534,0.25494754,0.16143246,0.28308818,-2.053723
attn_0_0_outputs,10,-0.011099592,-0.101596355,0.08236101,0.3293984,-0.11595545,-0.3153229,1.1706085
attn_0_0_outputs,11,-0.068416886,0.64346504,0.30065334,0.4339817,0.11260042,0.09009219,1.047144
attn_0_0_outputs,12,-0.1345112,0.46530437,0.069836386,0.71217734,0.046098642,0.21738611,-0.116320625
attn_0_0_outputs,13,-0.0057311575,0.23457202,0.010752844,0.29880092,0.15367709,-0.009009248,0.9122706
attn_0_0_outputs,14,0.3659333,-0.10757381,-0.07819245,0.38925168,-0.4554708,0.07396487,-0.03479275
attn_0_0_outputs,15,0.22756092,0.5136501,0.35726467,0.66719955,0.009635338,0.26080015,-0.4471454
attn_0_0_outputs,16,0.094790466,0.29237694,-0.09441899,0.75173825,-0.12986429,0.23803927,0.9453931
attn_0_0_outputs,17,0.47405413,-0.12788995,0.26593328,0.2479083,-0.26310742,0.035516694,-0.2826633
attn_0_0_outputs,18,-0.3962763,0.1787086,0.13017201,0.96346873,-0.18711922,0.2865553,0.7807496
attn_0_0_outputs,19,0.13429266,0.39899072,0.67216915,0.5164666,0.19877933,0.2346853,-0.86094624
attn_0_0_outputs,2,-0.11281833,-0.40936613,-0.3227712,0.048521645,-0.17594339,-0.03488808,0.047798235
attn_0_0_outputs,20,0.5345047,0.6280761,0.517701,0.4600379,0.39124855,0.7632015,1.1654589
attn_0_0_outputs,21,-0.118566155,0.17541131,-0.057093352,0.4642122,0.16594328,0.3590925,0.7384528
attn_0_0_outputs,22,0.38703966,-0.0822474,-0.0056963153,1.9271897,1.7969451,0.043884363,-1.5931174
attn_0_0_outputs,23,0.5372156,0.49628967,0.35358205,0.75469506,0.11456264,0.54838854,0.8642528
attn_0_0_outputs,24,0.049114194,0.42284733,0.37570626,0.76922256,0.38079533,0.20918277,-0.9762074
attn_0_0_outputs,25,0.40479708,0.4452251,0.69599116,0.6591625,0.24178776,0.5523593,3.0574765
attn_0_0_outputs,26,0.0093974415,0.73519325,0.5187243,-0.40119547,-0.04844424,0.31254232,0.6051015
attn_0_0_outputs,27,0.5613668,0.37361053,0.9871573,0.99437296,0.21087706,0.16746219,-0.36916867
attn_0_0_outputs,28,-0.03678653,1.0397795,0.9637092,-0.39258575,-0.2592486,0.6969118,-0.2303359
attn_0_0_outputs,29,-0.13598876,-0.4250388,0.5204694,0.6808014,0.695322,0.8115015,-0.49800068
attn_0_0_outputs,3,-0.44276762,-0.49266547,-0.61409384,-0.05400869,-0.2860406,-0.5291842,0.55516326
attn_0_0_outputs,30,0.39267793,0.69044924,0.351768,0.8305307,-0.6177511,0.6617927,0.40116692
attn_0_0_outputs,31,0.40815178,0.38897794,0.57786137,0.65224224,0.18053369,1.1869575,-1.0098591
attn_0_0_outputs,32,0.009785097,0.4546766,-0.014737995,0.8449677,0.1211829,0.14775115,0.9968538
attn_0_0_outputs,33,0.12285257,0.4301147,1.0103422,0.6747542,0.12419236,0.5398464,-1.7793747
attn_0_0_outputs,34,0.5469269,1.1784757,0.4369781,-0.029159402,-0.16888542,-0.028191231,-0.78388536
attn_0_0_outputs,35,0.00016862768,1.5420057,0.06094647,0.4129246,0.5997079,-0.030563287,0.1792396
attn_0_0_outputs,36,0.59244126,0.46158186,0.5109022,1.0843947,-0.10966583,0.335179,-1.7906648
attn_0_0_outputs,37,0.70744276,0.48777136,0.33466998,0.8765264,0.3299319,1.2216476,-0.9964016
attn_0_0_outputs,38,0.48105898,0.23784536,0.0027824224,0.072675005,-0.09783726,0.50768954,0.31303972
attn_0_0_outputs,39,-0.18057369,0.35473415,-0.5828282,0.056564674,-0.96051455,0.43873522,0.43637988
attn_0_0_outputs,4,-0.3680635,-0.15473211,-0.18566662,0.062492747,-0.23663133,-0.22273354,0.45909068
attn_0_0_outputs,40,-0.6492599,-0.18546794,0.7014588,0.22538978,-0.065938145,0.36324888,0.30889463
attn_0_0_outputs,41,-0.21441518,-0.12758914,1.0688779,-0.48409846,-0.13812898,0.17774695,0.23303454
attn_0_0_outputs,42,0.17558932,-0.18361129,0.19041213,0.1319337,-0.124142356,0.09769628,0.12797748
attn_0_0_outputs,43,0.0015435817,0.051049914,-0.16236769,-0.8931107,-0.30550852,-0.35667118,0.12895879
attn_0_0_outputs,44,0.24991482,-0.10604023,0.97515905,0.381731,-0.4727773,0.212613,-0.67848873
attn_0_0_outputs,45,0.29254988,-0.8630417,0.94024587,0.27826175,-0.23665442,-0.3813246,0.25825372
attn_0_0_outputs,46,-0.67595196,-0.09395205,0.6964654,0.04930392,-0.046738863,0.102865145,0.3567877
attn_0_0_outputs,47,-0.60088545,-0.28486183,0.3640116,-0.71121675,-0.01955762,0.36338678,-0.5804783
attn_0_0_outputs,48,-0.1151589,-0.02321316,0.31546727,-0.463797,-0.08263954,0.06770944,0.2603469
