feature,value,1,2,3,4,5,6
attn_0_0_outputs,0,0.06482739,0.05012744,-0.12257433,-0.05915282,0.16364665,-0.026893023
attn_0_0_outputs,1,-0.049105212,-0.046850037,-0.44525176,-0.260056,-0.19067428,-1.2266295
attn_0_0_outputs,2,0.66277975,0.59714884,0.051276658,0.0769384,-0.1405413,-1.0559312
attn_0_0_outputs,3,0.2278102,-0.1351806,-0.48988584,-0.21999587,0.011062213,-1.9055376
attn_0_0_outputs,4,0.31254858,0.2423482,0.09818886,0.19983812,0.3164688,0.43205997
attn_0_0_outputs,5,0.21371299,0.25336504,0.11905967,-0.03618576,-0.5315432,-0.31322503
attn_0_0_outputs,<pad>,0.79125345,0.7661059,-0.3911736,-0.8111632,-0.15200004,0.4484521
attn_0_0_outputs,<s>,0.75966823,0.6590944,-0.029017374,-0.54526913,-1.8362128,-7.0391164
attn_0_0_outputs,_,0.18572037,0.6349138,-0.22513863,0.94420534,0.45209798,-0.66900545
attn_0_0_outputs,_,-0.029890602,1.2822888,-0.6971219,0.7701604,-1.0210541,-0.65281045
attn_0_0_outputs,_,-0.26906088,0.06382492,-0.8787542,-0.6151182,0.14496417,-0.14104977
attn_0_0_outputs,_,0.41449213,1.2497439,0.17946067,-0.74618405,0.6374243,-0.29435137
attn_0_0_outputs,_,0.05137781,0.8608957,-0.49349952,0.37550464,-1.2658787,-0.39425868
attn_0_0_outputs,_,-0.4531192,0.24257706,-0.48565978,-0.124223895,1.2014881,-0.37355652
attn_0_0_outputs,_,0.1696411,0.59848833,-0.70640504,1.7241908,-0.38731742,0.10115554
attn_0_0_outputs,_,-0.2908562,0.8228353,-0.89473855,1.0846667,0.6698616,0.055084396
attn_0_0_outputs,_,-0.5623543,0.71613044,-0.12998289,-0.37292454,0.6414637,0.4447631
attn_0_0_outputs,_,0.10187688,0.5733309,-0.5793289,-0.11490231,1.5217066,-0.53464174
attn_0_0_outputs,_,-0.43649495,0.5469303,-0.69997865,1.3392743,-0.47665355,-0.36174268
attn_0_0_outputs,_,0.24242763,0.74062026,-0.052489683,0.8681701,1.0486069,-0.13254447
attn_0_0_outputs,_,-0.4900705,0.9812243,-0.56006706,-0.39853573,1.5939875,-0.39686248
attn_0_0_outputs,_,-0.56104517,0.10799186,-0.56204504,0.60941815,2.7218993,-0.32859656
attn_0_0_outputs,_,0.27705178,0.154458,-1.0213518,0.928309,3.7342389,-0.29010257
attn_0_0_outputs,_,-0.22527605,0.9843697,0.33697557,2.0271647,0.6128389,-1.0838424
attn_0_0_outputs,_,-0.6149804,0.10335306,-0.9243806,2.734745,-0.8849307,-0.9477885
attn_0_0_outputs,_,-0.7124882,0.72147346,0.15865584,0.94043577,2.8155317,-0.7366854
attn_0_0_outputs,_,0.43149447,0.16678272,0.13695529,2.6420145,4.6320753,-0.6434296
attn_0_0_outputs,_,-1.6072564,0.88559616,1.1208525,1.5592072,0.19775786,-0.56196505
attn_0_0_outputs,_,-1.491723,0.64405024,0.6883241,1.3546698,2.1685808,-0.008536391
attn_0_0_outputs,_,-1.2048866,-0.5974868,1.143246,1.7225595,1.4141309,0.10010268
attn_0_0_outputs,_,0.45971066,0.13210651,-0.19495581,-0.24678157,-1.0984215,-0.35362458
attn_0_0_outputs,_,1.2092957,0.29567376,-0.3752907,0.92723686,-0.8414345,-0.27579683
attn_0_0_outputs,_,-0.5583258,-0.36092472,-0.09154257,1.8621588,-0.17471182,-0.10516888
attn_0_0_outputs,_,-0.048932143,-0.22369549,0.3443889,0.07189841,-0.023728767,-0.48985368
attn_0_0_outputs,_,1.2775711,-1.2503676,0.3850542,0.56909496,-0.21591346,-0.6255157
attn_0_0_outputs,_,0.2318311,-1.1727328,0.85028064,0.39724082,0.05352859,-0.49819943
attn_0_0_outputs,_,-0.1737086,-0.16196539,-0.7351037,0.9774326,-0.047225405,-0.69152534
attn_0_0_outputs,_,0.23738489,0.22554404,-0.25255543,0.66650087,0.1509819,-0.4233779
attn_0_0_outputs,_,0.46276408,-0.041779496,0.9164639,-0.064191684,-0.42273283,-0.37567276
attn_0_0_outputs,_,-0.24467465,-0.41973752,0.49729633,0.5728158,-0.024556626,0.17596173
attn_0_1_outputs,0,-0.15804212,-0.09586335,0.22072236,0.477713,1.0320318,2.1156356
attn_0_1_outputs,1,-0.09949776,0.0019768502,-0.36998078,0.30982742,0.09284434,-0.8588382
attn_0_1_outputs,2,0.29898185,0.059047382,0.14753768,0.0030120667,-0.5925101,-0.65591615
attn_0_1_outputs,3,0.093799114,0.32001573,-0.13374041,-1.1314483,-1.9133644,-4.576534
attn_0_1_outputs,4,0.33312222,0.16899677,0.05368321,-0.07245291,-1.0630842,-1.7603966
attn_0_1_outputs,5,0.22578746,0.2829528,0.19673812,-0.25033575,-0.76862824,-1.350183
