feature,value,F,P,T
attn_0_0_outputs,(,0.69278127,0.36054403,-0.36623952
attn_0_0_outputs,),0.96763515,-0.1932862,-0.25966388
attn_0_0_outputs,<pad>,0.81627315,-0.47176555,0.25366127
attn_0_0_outputs,<s>,-0.12731369,0.44525293,0.015176109
attn_0_0_outputs,_,-0.29039526,0.52559793,0.33741757
attn_0_0_outputs,_,0.6783164,0.17276146,-0.43561554
attn_0_0_outputs,_,0.09199925,-0.50105715,-0.0350473
attn_0_0_outputs,_,-0.957233,-0.047088914,-0.2132556
attn_0_0_outputs,_,0.3247776,0.88338596,0.0075950786
attn_0_0_outputs,_,-0.60451335,0.84677875,0.27743727
attn_0_0_outputs,_,0.8922288,0.15922089,-0.47411105
attn_0_0_outputs,_,0.5582684,1.2277564,0.13049227
attn_0_0_outputs,_,-0.14955147,0.2378965,-1.0024818
attn_0_0_outputs,_,-0.11528001,0.37140772,-0.2828672
attn_0_0_outputs,_,0.4712521,0.96849513,-0.8278944
attn_0_0_outputs,_,0.16101728,-0.28922856,-0.004082062
attn_0_0_outputs,_,-0.88488775,1.1331621,-0.62415063
attn_0_0_outputs,_,-0.38850844,-0.36897978,-0.2228482
attn_0_0_outputs,_,-0.4433696,0.6353181,0.03223408
attn_0_0_outputs,_,-1.4033276,0.24285491,0.7207021
attn_0_0_outputs,_,-0.134178,-0.3723123,0.5317337
attn_0_0_outputs,_,0.053257078,0.90636206,0.13595669
attn_0_0_outputs,_,0.32823673,-0.029282263,0.29514527
attn_0_0_outputs,_,0.42104688,-0.19772588,0.5138918
attn_0_0_outputs,_,0.37496608,0.14165185,0.28026026
attn_0_0_outputs,_,-0.39950618,0.8323353,0.67271084
attn_0_0_outputs,_,-0.15194684,0.01857952,0.26372626
attn_0_0_outputs,_,-0.39906284,0.7751965,1.0550176
attn_0_0_outputs,_,-0.56882125,-0.249841,0.47813857
attn_0_0_outputs,_,-0.9111054,0.13919108,0.9045051
attn_0_0_outputs,_,-0.5548414,-0.6186798,1.3014089
attn_0_0_outputs,_,-0.12446026,-0.18855855,0.015286728
attn_0_0_outputs,_,-0.50300056,-0.36014792,0.871006
attn_0_0_outputs,_,0.11079109,-0.67874944,1.1792926
attn_0_0_outputs,_,-0.48892003,-1.8735188,0.338833
attn_0_0_outputs,_,-0.18447231,-0.3374909,1.080633
attn_0_0_outputs,_,-0.031196736,0.024524052,0.7432784
attn_0_0_outputs,_,0.20768835,0.59614295,-0.9888568
attn_0_0_outputs,_,0.40145427,0.1448344,-0.60455525
attn_0_0_outputs,_,0.3976248,-0.06448624,0.48229915
attn_0_0_outputs,_,0.13227186,-0.28750435,0.104917146
attn_0_0_outputs,_,0.44030085,0.15955095,-0.38601542
attn_0_0_outputs,_,0.66117704,0.26263875,-0.49322933
attn_0_0_outputs,_,0.15018868,0.08838008,-0.08316812
attn_0_0_outputs,_,-0.5610287,-0.06799419,-0.32906693
attn_0_0_outputs,_,0.95381147,-0.42451203,-0.075136535
attn_0_0_outputs,_,-0.007083441,-0.41536072,0.24585235
attn_0_0_outputs,_,1.8288232,-0.61570567,-0.23129392
attn_0_0_outputs,_,0.041122604,0.25037494,-0.50884545
attn_0_0_outputs,_,-0.4616742,0.34298098,-0.30757186
attn_0_0_outputs,_,0.68468016,-0.31787884,-0.93494284
attn_0_0_outputs,_,-0.82183456,-0.33448026,-0.13682227
attn_0_0_outputs,_,0.46394935,-0.5723295,-0.23455219
attn_0_0_outputs,_,0.6932827,0.07227503,0.25405037
attn_0_0_outputs,_,0.5575655,0.9612084,-1.130594
attn_0_0_outputs,_,1.4461199,0.44789264,0.43422508
attn_0_0_outputs,_,0.7003187,0.74279714,-0.33389693
attn_0_0_outputs,_,0.34370646,0.036954377,-0.2250646
attn_0_0_outputs,_,0.8721185,-0.23174134,-0.4074501
attn_0_0_outputs,_,0.3503506,-0.46062285,0.37121463
attn_0_0_outputs,_,-0.10486955,0.24144812,-0.3155653
attn_0_0_outputs,_,0.18312627,0.4854285,-0.37886888
attn_0_0_outputs,_,0.27625504,0.12825187,-0.6413559
attn_0_0_outputs,_,0.06733022,-0.1531842,0.7421064
attn_0_0_outputs,_,-0.14036687,-0.33290958,-0.36003414
attn_0_0_outputs,_,1.6886188,-0.07342727,0.8554799
attn_0_0_outputs,_,0.886191,-0.12682661,0.038788762
attn_0_0_outputs,_,0.19343735,-0.23976594,0.4663811
attn_0_0_outputs,_,-0.11833181,-0.3593173,-0.7607639
attn_0_0_outputs,_,0.20341064,0.56570214,-1.3999048
attn_0_0_outputs,_,-0.316754,0.35517216,-0.027327873
attn_0_0_outputs,_,0.5699012,0.4645102,-0.3047571
attn_0_0_outputs,_,0.0577107,0.46603805,0.7831609
attn_0_0_outputs,_,-0.68525374,0.53308696,0.52753645
attn_0_0_outputs,_,0.66084856,0.5555941,-0.46433818
attn_0_0_outputs,_,0.656193,0.117892206,-1.009176
attn_0_0_outputs,_,0.28133106,-0.18981752,0.17231382
attn_0_0_outputs,_,0.5478439,6.52037e-05,0.28535235
attn_0_0_outputs,{,0.26719657,-0.07347314,-0.4985629
attn_0_0_outputs,},0.9459602,0.011933744,0.08177807
attn_0_1_outputs,(,0.43426678,-0.4390578,-0.48445544
attn_0_1_outputs,),0.8485364,-0.37581992,0.12538247
attn_0_1_outputs,<pad>,0.16207589,0.33095133,0.11738327
attn_0_1_outputs,<s>,0.4795423,-0.17128916,-0.10033829
attn_0_1_outputs,_,0.5481554,0.085885614,-0.089463145
attn_0_1_outputs,_,-0.020368753,0.3935824,-0.21569048
attn_0_1_outputs,_,0.62403464,0.25971985,0.35962364
attn_0_1_outputs,_,-0.6650999,0.017312765,0.037508648
attn_0_1_outputs,_,-0.455955,0.14747812,-0.8114987
attn_0_1_outputs,_,0.089828305,0.56412005,0.13027279
attn_0_1_outputs,_,-0.082961194,-0.012811724,0.11144388
attn_0_1_outputs,_,-0.07933056,1.0588858,0.58357126
attn_0_1_outputs,_,0.5371789,1.1493659,-0.817802
attn_0_1_outputs,_,-0.7098775,0.058231737,0.92626435
attn_0_1_outputs,_,-0.31018013,0.40957782,-0.18388884
attn_0_1_outputs,_,0.2365144,-1.0406557,-0.44099444
attn_0_1_outputs,_,-0.40375653,0.06397495,-0.39041796
attn_0_1_outputs,_,-0.3157979,0.6337603,0.22388674
attn_0_1_outputs,_,0.8628485,-0.057161722,0.051500097
attn_0_1_outputs,_,-0.2823901,-0.047555376,0.4094394
attn_0_1_outputs,_,-0.5117544,-0.46956965,0.9655892
attn_0_1_outputs,_,-0.6719763,0.141466,0.94089645
attn_0_1_outputs,_,0.77012724,0.9415352,0.3841499
attn_0_1_outputs,_,-0.03757301,-0.52588403,-0.26498586
attn_0_1_outputs,_,-0.236198,0.4905537,-0.15743361
attn_0_1_outputs,_,-0.056434073,0.78799385,0.6644833
attn_0_1_outputs,_,-0.22699061,0.3672018,-0.044409826
attn_0_1_outputs,_,-1.0572875,-0.14770152,-0.4175387
attn_0_1_outputs,_,0.22498819,0.055009753,-0.0008652066
attn_0_1_outputs,_,-0.1421203,0.56272894,0.17521669
attn_0_1_outputs,_,-1.4944167,0.034748826,0.6415424
attn_0_1_outputs,_,-0.5543095,-0.16321456,-0.057648215
attn_0_1_outputs,_,-0.68068135,-0.74824035,1.1319544
attn_0_1_outputs,_,0.7533134,-0.5450142,-0.1705168
attn_0_1_outputs,_,0.3787195,-0.61665726,0.22401649
attn_0_1_outputs,_,-0.17779662,-0.26738754,0.20682949
