feature,value,F,P,T
attn_0_0_outputs,(,1.7663414,-0.8332814,0.3739347
attn_0_0_outputs,),-0.7707129,0.27548736,-0.66595453
attn_0_0_outputs,<pad>,0.07228279,0.00242181,-0.80067295
attn_0_0_outputs,<s>,-0.6316921,1.4132264,1.3336641
attn_0_0_outputs,_,-0.40570155,0.48391753,-0.4929131
attn_0_0_outputs,_,0.27138817,0.4149013,-0.66540706
attn_0_0_outputs,_,0.7824855,-0.22856522,-0.79981685
attn_0_0_outputs,_,-0.0057793157,-0.24498725,-1.354169
attn_0_0_outputs,_,0.09943066,-0.41289854,-0.42730084
attn_0_0_outputs,_,0.31889006,-0.30368665,0.08655326
attn_0_0_outputs,_,-0.045266442,0.44144294,-0.04269923
attn_0_0_outputs,_,0.11222575,0.14851181,0.15163204
attn_0_0_outputs,_,0.29264075,-0.6043187,0.5715219
attn_0_0_outputs,_,0.36981943,-0.92139184,-0.28681156
attn_0_0_outputs,_,0.0763032,-0.45538723,0.15107585
attn_0_0_outputs,_,-0.51666534,-0.44569162,-0.6531556
attn_0_0_outputs,_,-0.005304263,0.15034482,-0.11963822
attn_0_0_outputs,_,-0.45211342,-0.34065086,0.30999163
attn_0_0_outputs,{,0.85042846,-0.7688643,0.40676606
attn_0_0_outputs,},0.05023919,-0.30769083,-2.2124906
attn_0_1_outputs,(,-0.30064234,-0.6304433,-2.3676267
attn_0_1_outputs,),0.6453854,-0.99735236,-1.2868716
attn_0_1_outputs,<pad>,0.22544357,-0.29029265,-0.50337857
attn_0_1_outputs,<s>,0.63005894,-0.5666156,1.7547866
attn_0_1_outputs,_,0.4163289,0.47629517,-0.71043444
attn_0_1_outputs,_,0.2862995,0.57165325,-0.66090673
attn_0_1_outputs,_,-0.11837388,-0.15097596,-1.3378371
attn_0_1_outputs,_,0.7221442,-0.48721254,-1.5190297
attn_0_1_outputs,_,-1.4232346,-1.0171053,0.43783233
attn_0_1_outputs,_,-0.13241903,0.29230225,-0.42185548
attn_0_1_outputs,_,0.14774579,0.16071792,0.5299362
attn_0_1_outputs,_,0.45502675,-0.17880002,0.28057966
attn_0_1_outputs,_,0.5555939,-1.029861,0.21044384
attn_0_1_outputs,_,0.7373311,-0.7899794,0.671765
attn_0_1_outputs,_,0.46415722,0.28380337,-0.6271152
attn_0_1_outputs,_,0.6662567,-0.3589197,0.7699208
attn_0_1_outputs,_,-0.13060321,0.36846557,-0.19729908
attn_0_1_outputs,_,-0.27883008,0.4448769,-0.4742767
attn_0_1_outputs,{,0.031428013,-0.6276313,-2.0597663
attn_0_1_outputs,},-0.8749975,0.027743619,0.14405306
attn_0_2_outputs,(,-0.42970514,1.166081,0.020492697
attn_0_2_outputs,),0.5786593,-1.2942214,-0.42438853
attn_0_2_outputs,<pad>,0.27480802,-0.29792908,-0.5630899
attn_0_2_outputs,<s>,0.88057387,-0.76019996,0.4461563
attn_0_2_outputs,_,-0.040652078,-0.98439276,1.1354202
attn_0_2_outputs,_,0.5806839,-1.188689,0.5965618
attn_0_2_outputs,_,-0.33596316,-0.23081182,0.57914895
attn_0_2_outputs,_,0.57898235,-0.044294193,-1.7726818
attn_0_2_outputs,_,0.17417395,-0.97125953,0.16129208
attn_0_2_outputs,_,-0.6219133,-0.3452936,-0.25466874
attn_0_2_outputs,_,-0.48824543,0.3337222,-0.13232006
attn_0_2_outputs,_,-1.1724643,-0.48039696,0.9491205
attn_0_2_outputs,_,-1.0329132,-0.46770188,-0.6082235
attn_0_2_outputs,_,1.0844167,0.07367981,-0.19131346
attn_0_2_outputs,_,0.30651653,-0.76375353,-0.4357095
