feature,value,0,1,2,3,4,5,<s>
attn_0_0_outputs,0,0.11502373,-0.66699874,0.6078231,-0.99509895,0.51671743,0.5228926,0.92834115
attn_0_0_outputs,1,0.54486036,1.7486883,0.6671602,0.29416004,0.21760413,0.24086599,-4.617532
attn_0_0_outputs,2,0.31559896,0.59441096,0.22421727,0.4335083,-0.159389,0.26945782,1.2451321
attn_0_0_outputs,3,0.0816902,0.20351546,-0.044447105,-0.60418904,-0.22451527,-0.4464107,1.5121351
attn_0_0_outputs,4,-0.5277024,0.4757879,-0.42104736,-0.31363538,-0.6123621,-0.057612557,1.2485918
attn_0_0_outputs,5,-0.36693513,0.79734904,0.38160256,-0.36434114,-0.45105687,-0.6229799,1.2495477
attn_0_0_outputs,<pad>,-0.03566946,-0.5305004,-0.2062074,-0.12581965,-0.38280123,-0.0034567774,0.7812001
attn_0_0_outputs,<s>,-0.21576677,-4.117233,-0.21489744,-0.48793772,-0.8169839,-0.72265244,7.037714
attn_0_0_outputs,_,0.34246993,0.009439954,0.16446657,0.8192718,-0.14043078,-0.11881976,-0.45542032
attn_0_0_outputs,_,-0.02906849,0.31574443,0.29524627,0.38925424,-0.31563044,-0.93943256,-0.5507999
attn_0_0_outputs,_,0.19580364,0.35969022,0.44167033,0.521731,0.36460283,0.060187973,-0.17966782
attn_0_0_outputs,_,0.53571653,0.0981515,0.18146592,0.48195747,0.47711197,-0.1612678,0.21580887
attn_0_0_outputs,_,-0.1532555,-0.3145964,0.21277513,0.05320599,0.08887734,0.26479152,-0.092284404
attn_0_0_outputs,_,0.11571751,-0.32748765,0.27422193,-0.10389249,-0.035810083,-0.08494945,-0.37732247
attn_0_0_outputs,_,0.22267991,0.04366536,-0.051953793,-0.024491664,-0.1890289,0.14914237,0.33468136
attn_0_0_outputs,_,0.37151176,-0.70930415,0.5901505,0.5020104,-0.4733718,0.5171699,-0.50087273
attn_0_0_outputs,_,0.40269837,-0.2501905,0.16245337,0.3647584,-0.14884673,-0.112458125,0.023428988
attn_0_0_outputs,_,0.75784475,-0.26884896,0.12965506,0.69553137,0.6007495,0.41519833,0.028122546
attn_0_0_outputs,_,0.4188557,-0.43621784,-0.521934,0.34829342,-0.5080201,-0.3219024,-0.23576358
attn_0_0_outputs,_,0.57863253,0.09547141,0.053906407,0.017591774,-0.21461058,-0.26188338,-0.028081229
attn_0_0_outputs,_,-0.16330364,-0.5154935,-0.41871247,0.15157942,-0.19355653,0.58103347,-0.1159206
attn_0_0_outputs,_,0.41845718,-0.4070297,0.009911761,0.14766449,-0.32332858,0.9032225,0.0036056177
attn_0_0_outputs,_,0.53076184,-0.49970233,-0.3986584,0.35561505,-0.15679581,-0.067499615,0.46841618
attn_0_0_outputs,_,0.5844812,-0.1686218,-0.60571235,0.26874804,0.06534257,-0.012604542,-0.35663003
attn_0_0_outputs,_,-0.2822033,0.4308531,-0.485418,0.07954259,0.1480636,0.22320281,-0.35257176
attn_0_0_outputs,_,0.120676406,-0.041221138,-0.41166478,-0.46444514,-0.25952408,-0.4401727,-0.23956701
attn_0_0_outputs,_,-0.22263901,-0.7874482,-0.2922031,0.62227184,-0.4777227,0.26179713,-0.06627084
attn_0_0_outputs,_,-0.789745,-0.2877191,-0.2879283,0.24092963,-0.086956255,0.024439648,0.11046821
attn_0_0_outputs,_,-0.115448356,0.18918255,0.22438724,-0.038866386,-0.49205935,0.115271665,0.62407446
attn_0_0_outputs,_,-0.32714555,0.8092135,-0.10208494,-0.38732937,0.63278115,-0.2281602,-0.49943593
attn_0_0_outputs,_,0.6908709,0.67491156,0.24174787,-0.4628566,-0.3824896,0.08601553,0.09974296
attn_0_0_outputs,_,-0.24935757,0.46759763,0.58210146,-0.1500834,-0.32438397,-0.6283709,0.07009659
attn_0_0_outputs,_,0.35477698,-0.16613051,0.0751632,-0.15746844,-0.2603387,-0.20372862,0.4120338
attn_0_0_outputs,_,0.18309031,-0.42538077,0.66308683,0.92489225,0.1194518,-0.45819575,-0.8896663
attn_0_0_outputs,_,0.33651114,0.09152733,-0.21379267,0.37839463,0.04446617,-0.58403707,-0.015211392
attn_0_0_outputs,_,0.35450208,-0.83304375,-0.12475929,-0.7581658,0.63474447,0.29992944,-0.4552811
attn_0_0_outputs,_,1.2666355,0.4519737,-0.46576476,0.8888829,0.90623116,-0.6476767,0.45716944
attn_0_0_outputs,_,0.5706251,0.11773651,0.17878984,-0.2586949,0.2165077,-0.7599839,0.6688573
attn_0_0_outputs,_,-0.3537678,-0.53225875,-0.15612558,-0.9449868,0.090873554,-0.011076188,-0.044509288
attn_0_0_outputs,_,-0.25151274,-0.19436352,-0.12748122,0.32259688,0.4446046,0.62605286,-0.030890137
attn_0_1_outputs,0,0.4162104,0.15686508,0.10271206,0.468938,0.30304986,0.17364651,-4.45929
attn_0_1_outputs,1,-0.47135365,0.119363055,-0.028656092,0.5749612,0.029807074,0.34787148,1.0060291
attn_0_1_outputs,2,-1.072614,0.022275895,0.2551351,0.087600455,-0.14778712,-0.22484982,0.08867607
attn_0_1_outputs,3,-0.16781649,-0.38912275,-0.50464875,-0.0030921383,-0.21406373,-0.256715,0.99457824
attn_0_1_outputs,4,-0.089481264,0.11017278,-0.02987338,0.18163617,-0.03668285,-0.318418,1.6155899
attn_0_1_outputs,5,1.5080636,-0.4725084,-0.27232316,-0.6413807,0.37631786,-1.024881,0.29170853
attn_0_1_outputs,<pad>,-0.5710736,-0.6011094,-0.17637816,-0.821605,-0.534431,-0.32726836,0.8785387
attn_0_1_outputs,<s>,-1.6490958,-0.50778085,-0.19683917,-0.44873512,-0.12929304,-0.7060277,5.4698935
attn_0_1_outputs,_,0.44344816,-0.011524756,0.64501196,-0.036376394,0.3270159,-0.0006813674,-0.7884248
attn_0_1_outputs,_,0.44869387,-0.03236029,0.11256258,-0.09018574,0.22998537,-0.043199833,-0.37768507
attn_0_1_outputs,_,0.21071486,0.08738686,0.3652323,0.03993162,0.3810782,-0.1058096,-0.6636181
attn_0_1_outputs,_,0.42249113,0.05625443,0.12832248,-0.2598493,0.37679258,-0.3770422,-0.66543895
attn_0_1_outputs,_,0.40103108,0.03795699,0.18019481,0.18412772,0.4060025,-0.13855849,-0.30502906
attn_0_1_outputs,_,0.7627836,0.19780415,0.23515727,0.023952803,0.4749824,0.23105091,-0.59911376
