feature,value,0,1,2,3,4,5,<s>
attn_0_0_outputs,0,0.56231576,-0.027472956,-0.16914317,-0.14263204,0.34151188,-0.06396533,0.17344512
attn_0_0_outputs,1,0.13060975,0.11543364,0.2274881,0.45678675,-0.034191202,-0.17978188,-0.45495838
attn_0_0_outputs,2,0.11493715,-0.33235312,0.38719136,0.60849506,-0.042413156,-0.35194987,-0.09315182
attn_0_0_outputs,3,-0.33475173,-0.35904342,-0.6228244,-0.001335724,0.120074004,-0.36920145,-0.28385696
attn_0_0_outputs,4,0.40267804,-0.021850452,0.43309703,0.75506353,0.46509522,-0.12999904,-0.10705636
attn_0_0_outputs,5,0.16121599,-0.2074496,0.2198509,0.52383506,0.1960057,0.37228635,-0.83343166
attn_0_0_outputs,<pad>,-0.38656688,-0.25465682,-0.19942316,-0.11543154,-0.031373676,0.17314719,0.6946162
attn_0_0_outputs,<s>,0.0972549,-0.09059095,-0.19996727,0.83270705,0.12353488,0.37187433,-0.38901332
attn_0_0_outputs,_,0.046483696,0.21842822,0.05367903,-0.17333584,0.08121221,0.5226446,-0.45629463
attn_0_0_outputs,_,0.17669809,0.44702098,0.37873662,0.21380965,0.3951152,0.48985967,-0.14442003
attn_0_0_outputs,_,0.37319273,0.21969156,0.2773623,-0.43670794,-0.10631547,0.8365244,0.25031838
attn_0_0_outputs,_,-0.3732674,0.5051819,0.035817254,-0.17864169,0.08768832,0.6526007,0.12796442
attn_0_0_outputs,_,0.45752782,0.13844386,0.65274984,-0.02856784,-0.120929174,-0.1366416,-0.12332361
attn_0_0_outputs,_,0.28140414,0.33279037,-0.30840042,-0.23459241,-0.07603269,-0.34671208,0.380952
attn_0_0_outputs,_,-0.38256335,0.5935386,-0.29265705,0.17498755,-0.3891197,0.17726043,-0.12568384
attn_0_0_outputs,_,0.04939046,0.32769775,-0.3684362,0.4916178,-0.49075055,0.024360409,0.37568742
attn_0_0_outputs,_,-0.20169245,0.04986383,1.3577721,0.08429881,-0.20328777,-0.2604628,0.15221566
attn_0_0_outputs,_,0.46728826,-0.25001067,0.049097136,0.12425529,-0.25657713,0.39937854,0.34789777
attn_0_0_outputs,_,-0.37753075,-0.19207056,0.21929117,-0.2519387,-0.587616,0.090451896,0.062664054
attn_0_0_outputs,_,-0.012400618,0.2409606,-0.384133,-0.35534194,0.1804173,0.2345435,-0.71391296
