feature,value,1,2,3,4,5,6
attn_0_0_outputs,0,-1.5156428,-0.7393006,0.76866746,0.7582812,3.3088906,-1.2188814
attn_0_0_outputs,1,-0.8245414,0.05334026,0.437883,-0.8090148,-0.8644417,-0.7840711
attn_0_0_outputs,10,-0.3191256,-0.021113213,0.26666948,0.6437381,0.46194008,0.394234
attn_0_0_outputs,11,0.6022637,-0.38388434,-0.40979698,-0.0023760854,0.14929597,0.8533523
attn_0_0_outputs,12,0.018307634,0.1714367,0.3705149,-0.1958711,0.92293805,-0.8663699
attn_0_0_outputs,13,-0.59276044,-0.5196707,0.5275188,1.0862433,0.33021522,-0.1338077
attn_0_0_outputs,14,-0.07179889,-0.14264308,0.66572005,0.42416728,0.094464585,-0.049350254
attn_0_0_outputs,15,0.19390157,0.12394759,0.061479695,0.6798415,0.24432993,-0.33825743
attn_0_0_outputs,16,0.28740868,-0.12347516,0.5608873,0.26342148,-0.084492244,0.12974837
attn_0_0_outputs,17,-0.3759627,-0.11609915,-0.026511457,0.24044748,0.06391022,-0.16274863
attn_0_0_outputs,18,-0.31736022,0.057531748,0.3771937,-0.099438,0.03323308,-0.21156119
attn_0_0_outputs,19,-0.057408344,-0.61540717,0.20655271,0.30612734,-0.0819494,-0.26649544
attn_0_0_outputs,2,-0.38791153,-0.047244065,0.5244037,-0.2064889,-0.009388614,-0.9955278
attn_0_0_outputs,3,-0.74241763,-0.22674689,0.41612396,-0.07707691,-0.94756407,-0.01723333
attn_0_0_outputs,4,-1.1130598,-0.39763385,1.0611888,-0.30339316,1.0248394,-0.9546797
attn_0_0_outputs,5,-0.65364826,-0.15460864,0.76013726,-0.30496517,-0.88017416,0.32949728
attn_0_0_outputs,6,-1.1495743,-0.5111964,0.6051522,0.074446075,-1.217085,2.4320924
attn_0_0_outputs,7,-0.63816065,-0.043454666,1.0182576,0.023041112,0.7702772,-1.5772841
attn_0_0_outputs,8,-1.3462442,-0.4135532,1.855466,0.49928495,-0.74782467,-2.8864985
attn_0_0_outputs,9,-0.743126,-0.15288256,0.26745474,-0.49836007,-3.0355806,-3.6704159
attn_0_1_outputs,0,1.5963953,1.1891733,-2.0822968,-1.2325103,-0.37874296,0.13033362
attn_0_1_outputs,1,-0.035770405,0.14900038,-0.1874307,-0.42981508,-0.53833234,-0.49976116
attn_0_1_outputs,10,-0.039997343,0.22661659,0.115098454,-0.07295708,-0.24055678,-0.21928662
attn_0_1_outputs,11,-0.112291455,0.3129155,0.021046191,0.21319011,-0.9849705,0.415786
attn_0_1_outputs,12,-0.13939658,-0.08814185,0.15368691,-0.22966006,-0.44392252,-0.810697
attn_0_1_outputs,13,-0.4220546,-0.16327144,0.5436636,-0.23282537,0.36721796,0.39310345
attn_0_1_outputs,14,0.30210987,-0.20496795,0.11429551,0.44208544,0.3302449,0.075227484
attn_0_1_outputs,15,0.5903689,0.5599755,0.1582554,-0.055460062,-0.19409591,0.08496754
attn_0_1_outputs,16,-0.03621259,-0.20000888,0.0134726055,0.1332739,0.10083713,0.08533762
attn_0_1_outputs,17,0.15386257,-0.21307097,0.019137852,-0.03899903,0.44981816,-0.20175003
attn_0_1_outputs,18,0.16118373,-0.4568823,0.7480661,-0.10650994,0.022819197,0.27768388
attn_0_1_outputs,19,0.03412931,-0.29199755,0.06166698,0.14404829,0.19230586,-0.27032638
attn_0_1_outputs,2,-0.9063955,0.89305115,0.5369954,0.12742281,-0.9437903,1.2330338
attn_0_1_outputs,3,0.1501062,0.6435575,-1.290896,-0.8049751,-0.8780094,0.58540684
