feature,value,F,P,T
attn_0_0_outputs,(,-0.015502503,0.92005825,0.74613297
attn_0_0_outputs,),0.6931511,-0.7288749,1.0317935
attn_0_0_outputs,<pad>,0.12254725,0.42117292,0.42837396
attn_0_0_outputs,<s>,-0.15135828,-0.3212684,0.2671481
attn_0_0_outputs,_,-0.21954773,0.118003875,0.7601373
attn_0_0_outputs,_,-0.19138247,0.095072575,-0.5533929
attn_0_0_outputs,_,-0.21460955,0.14114141,0.10080536
attn_0_0_outputs,_,0.015051132,-0.48991883,0.11018752
attn_0_0_outputs,_,0.40250042,-0.08913393,-0.14236607
attn_0_0_outputs,_,-0.10757587,0.29073298,-1.9004308
attn_0_0_outputs,_,0.71438134,-0.46488878,0.11579339
attn_0_0_outputs,_,-0.018178461,-0.110088825,0.40711445
attn_0_0_outputs,_,-0.48476285,0.86759037,0.69309795
attn_0_0_outputs,_,-0.2633656,-0.3651869,0.04685645
attn_0_0_outputs,_,-0.8130709,0.043780897,0.27362734
attn_0_0_outputs,_,0.19279511,0.21371694,0.10212097
attn_0_0_outputs,_,-1.0669987,0.5107035,-0.25341594
attn_0_0_outputs,_,0.4788698,-0.72394043,-0.006578626
attn_0_0_outputs,_,0.8835922,-0.67377025,0.32439846
attn_0_0_outputs,_,0.55450994,0.18756686,0.8022723
attn_0_1_outputs,(,-0.90190095,0.7496456,0.34261477
attn_0_1_outputs,),0.9430065,-1.4843429,-1.3454225
attn_0_1_outputs,<pad>,0.12840949,-0.447658,0.71940637
attn_0_1_outputs,<s>,0.057575192,0.2036469,-0.13031885
attn_0_1_outputs,_,0.34263754,0.14441842,-0.3445014
attn_0_1_outputs,_,0.10390001,-0.037715614,-0.45240352
attn_0_1_outputs,_,-0.1172654,-0.47504058,-0.17720842
attn_0_1_outputs,_,0.17872907,0.29761857,-0.75285363
attn_0_1_outputs,_,0.014608056,0.009024095,-0.068353795
attn_0_1_outputs,_,-0.95053387,0.14106217,-0.87295115
attn_0_1_outputs,_,-0.09459921,0.12345043,0.76601887
attn_0_1_outputs,_,0.10424183,-1.145399,0.14618456
attn_0_1_outputs,_,0.23533691,0.007250834,0.37943396
attn_0_1_outputs,_,-0.4453915,-0.44073635,0.14846635
attn_0_1_outputs,_,0.03857255,0.014555375,0.47004747
attn_0_1_outputs,_,0.22119735,0.45816386,0.3066798
attn_0_1_outputs,_,1.121816,1.0491768,1.3886747
attn_0_1_outputs,_,-0.2769726,0.47448295,-0.14158861
attn_0_1_outputs,_,-0.39460805,0.12981148,0.5724538
attn_0_1_outputs,_,0.2102032,-0.74651927,-0.9509893
attn_0_2_outputs,(,-0.4008588,0.7572558,-0.785513
attn_0_2_outputs,),0.8127597,-0.4303919,0.21349305
attn_0_2_outputs,<pad>,0.59328336,-0.47410315,0.066649534
attn_0_2_outputs,<s>,0.10058089,0.5232491,-0.22989963
attn_0_2_outputs,_,-0.48373923,-0.09101529,-0.93431824
attn_0_2_outputs,_,0.51998657,0.7763638,-0.3342612
attn_0_2_outputs,_,-0.496658,0.76402164,-0.060944535
attn_0_2_outputs,_,0.047965527,-0.77581877,-0.44904244
attn_0_2_outputs,_,0.029179484,-0.040423125,-0.24288034
attn_0_2_outputs,_,0.39127412,0.41123322,-0.31521374
attn_0_2_outputs,_,-0.41442093,-0.05597676,0.6277838
attn_0_2_outputs,_,-0.85978335,-0.38924155,0.50253
attn_0_2_outputs,_,0.15066594,-0.30622187,-0.87529737
attn_0_2_outputs,_,-0.58906883,0.007127203,0.79898745
attn_0_2_outputs,_,-1.042849,0.22969942,0.674516
attn_0_2_outputs,_,-0.85728073,0.94506896,-0.18470427
attn_0_2_outputs,_,0.16316566,0.36489257,0.65087533
attn_0_2_outputs,_,-0.21040383,-0.1313325,0.8741015
attn_0_2_outputs,_,-0.06370807,-0.44826585,-0.05822407
attn_0_2_outputs,_,0.25859413,1.1561884,0.6633263
attn_0_3_outputs,(,0.13883507,-0.12351833,0.18412516
attn_0_3_outputs,),0.30429205,0.13794656,0.8139371
attn_0_3_outputs,<pad>,-0.5126326,-0.1443232,-0.67251277
attn_0_3_outputs,<s>,-0.22765471,-0.09377909,0.2764371
attn_0_3_outputs,_,0.0730698,-0.44330695,-0.3239714
attn_0_3_outputs,_,0.5591376,-0.6568149,-0.6566692
attn_0_3_outputs,_,-0.019685289,-0.46632254,-0.60703075
attn_0_3_outputs,_,-0.04691534,0.33777484,0.22015975
attn_0_3_outputs,_,-0.4755002,-0.9089543,-0.75459206
attn_0_3_outputs,_,-0.051363572,0.19208181,-1.8590528
attn_0_3_outputs,_,-0.11854492,-0.08711658,-0.14917399
attn_0_3_outputs,_,-0.468892,-0.20032138,-0.38127163
attn_0_3_outputs,_,0.2965039,-0.06423744,-0.16403276
