feature,value,0,1,2,3,4,5,<s>
attn_0_0_outputs,0,-0.88431436,0.4523738,0.34173688,0.17586383,0.54548174,0.15939021,-0.38176274
attn_0_0_outputs,1,0.278156,-0.78794473,0.48356974,0.2590549,0.44610995,0.2841094,-0.55599815
attn_0_0_outputs,2,0.714173,0.98712885,-0.21158054,0.77350706,0.82055867,0.70589864,0.38998282
attn_0_0_outputs,3,-0.07339031,0.15008184,0.13690728,-1.3112223,0.14004119,-0.07022781,-0.89258885
attn_0_0_outputs,4,0.044720903,0.25447032,0.47701612,0.2049368,-0.72964096,0.108549446,-0.6931428
attn_0_0_outputs,5,0.30754185,0.5606004,0.26988256,0.3147743,0.55887794,-0.8397572,-0.55718344
attn_0_0_outputs,<pad>,-0.4531802,0.21625364,0.23911367,0.37689894,0.42193076,-0.1078181,0.27669308
attn_0_0_outputs,<s>,0.14272292,0.47780344,0.42357615,0.24541216,0.44037187,0.14009643,0.8648614
attn_0_0_outputs,_,-0.5581895,-0.034649782,0.098058075,0.3391232,-0.33170217,0.31334072,-0.6111061
attn_0_0_outputs,_,-0.26468056,0.112642005,-0.2946133,0.29431078,-0.017866407,0.3701409,0.16245715
attn_0_0_outputs,_,0.033077896,-0.76844054,-0.11282483,-0.8695616,0.73739207,-0.18098179,1.1789736
attn_0_0_outputs,_,0.36774185,-0.54726905,0.016609944,-0.0667702,0.25309741,-0.039991345,0.2391085
attn_0_0_outputs,_,0.375587,0.17028013,-0.22986089,-1.0423954,0.13777323,-0.03255582,0.0765592
attn_0_0_outputs,_,-0.15273756,-1.1035036,-0.16273196,-0.054028694,-0.69479233,0.7206188,0.2668178
attn_0_0_outputs,_,0.8769802,-0.575181,0.23407595,-0.39220008,-0.4695339,-0.50872785,-0.19443253
attn_0_0_outputs,_,0.16421692,0.45054516,-0.19163227,-1.0184169,-0.037019532,-0.47136405,0.51981753
attn_0_0_outputs,_,0.065391034,-1.1322318,-0.11720323,-0.02256579,0.42735097,0.32626235,-0.082167834
attn_0_0_outputs,_,0.03944969,-0.5620027,0.70153815,0.079469025,0.15086152,-0.017885689,0.91789657
attn_0_0_outputs,_,0.31253284,-0.14444181,0.047526184,-0.052704126,-0.0677205,0.6325826,0.262848
attn_0_0_outputs,_,-0.17251697,-0.24397308,0.03440493,-0.20506401,0.40042102,-0.23595463,-0.9886763
attn_0_1_outputs,0,1.094011,-0.47576842,-0.27069217,0.2648191,-0.36198434,-0.09267856,0.26681176
attn_0_1_outputs,1,-0.19824357,2.4460363,-1.6781211,-0.02959441,-1.4831811,-0.048484404,-0.09101897
attn_0_1_outputs,2,-0.9528119,-1.3785086,3.4109797,-0.4435418,-1.0956663,-0.84696686,-0.74797636
attn_0_1_outputs,3,0.19372691,-0.3748358,-0.46757257,1.6826174,-0.21015768,0.35694757,-0.055753913
attn_0_1_outputs,4,-0.849192,-1.2195883,-1.2175024,-0.32069644,2.7762241,-0.6992797,-1.0582283
attn_0_1_outputs,5,0.075378835,0.66257036,-1.1042241,-0.21074289,-0.50938976,1.2216123,0.49151006
attn_0_1_outputs,<pad>,0.13930506,0.24569403,-0.29178107,-0.24615471,0.22158745,-0.22064923,0.2693497
attn_0_1_outputs,<s>,-0.2059409,1.3504047,-1.0373038,-0.38453123,-0.44530863,0.150868,-0.018181615
attn_0_1_outputs,_,-0.17398763,0.2222338,0.33040577,0.0912912,0.067417316,-0.32957533,-0.49552685
attn_0_1_outputs,_,-0.021382056,0.15259631,-0.3296402,0.14603195,-0.2343819,-0.1327089,-0.32009545
attn_0_1_outputs,_,-0.10842436,-0.72573423,-0.106434174,0.22260872,0.9931409,-0.7296927,-0.12198343
attn_0_1_outputs,_,0.34446302,0.083640285,-0.24102785,-0.059576757,-0.2422451,-0.9076126,0.2000406
attn_0_1_outputs,_,0.5818825,-0.036070466,-0.31086615,-0.20100205,-0.1933776,0.14119565,-0.08988966
attn_0_1_outputs,_,1.1931542,-0.041218475,-0.13651791,-0.5812967,-0.10184369,0.10288959,-0.04632705
attn_0_1_outputs,_,0.67259204,0.2088746,-0.34818307,-0.12771694,-0.37968257,0.4258253,-0.2833751
attn_0_1_outputs,_,0.3396495,0.29804492,0.58927774,0.7311434,-0.069264635,-0.11837537,-0.09789249
attn_0_1_outputs,_,0.15559417,0.21162608,0.47901273,0.24106713,0.62803197,0.54442173,-0.20642602
