feature,value,F,P,T
attn_0_0_outputs,(,0.4874829,0.14503056,-0.22743501
attn_0_0_outputs,),-0.27278534,-0.3304622,-0.2082478
attn_0_0_outputs,<pad>,-0.35460994,0.36992255,-0.1687493
attn_0_0_outputs,<s>,0.09653668,-0.05765549,0.18311264
attn_0_0_outputs,_,0.6848452,0.8936312,-0.28496146
attn_0_0_outputs,_,-0.14657521,-0.37071708,0.4240005
attn_0_0_outputs,_,1.052041,0.31910366,-0.74245185
attn_0_0_outputs,_,-0.061990816,0.628909,-0.13190095
attn_0_0_outputs,_,-0.394317,0.7639192,0.02484977
attn_0_0_outputs,_,-0.38183433,1.3188986,0.05792032
attn_0_0_outputs,_,-0.5897754,0.0193045,-0.72255296
attn_0_0_outputs,_,0.38632816,-0.2908543,0.2481761
attn_0_0_outputs,_,0.021278668,0.2157981,0.036971156
attn_0_0_outputs,_,-1.0017503,0.100912705,-0.37393746
attn_0_0_outputs,_,0.81953496,0.8460284,-0.36330962
attn_0_0_outputs,_,-0.07191002,-0.4149612,0.3770665
attn_0_0_outputs,_,-0.8788268,0.57543516,0.25240064
attn_0_0_outputs,_,-0.26886898,-0.07265084,-0.40127814
attn_0_0_outputs,_,-0.26195085,0.24637455,-0.17104825
attn_0_0_outputs,_,0.15166579,0.35258472,-0.028742732
attn_0_0_outputs,_,-0.5710192,0.18625925,-0.02774939
attn_0_0_outputs,_,0.2583411,1.2152272,0.0379311
attn_0_0_outputs,_,0.034561828,0.29020286,0.9335699
attn_0_0_outputs,_,-0.21590953,0.20616934,-0.3441875
attn_0_0_outputs,_,-0.10969528,0.17048919,-0.3818504
attn_0_0_outputs,_,-0.41752362,-0.383879,0.80713457
attn_0_0_outputs,_,-0.23521444,-0.22709042,0.69190556
attn_0_0_outputs,_,-0.19033356,0.6545381,0.15037705
attn_0_0_outputs,_,0.50169265,0.9207042,0.23774894
attn_0_0_outputs,_,0.7097416,0.9445906,0.8678249
attn_0_0_outputs,_,-0.0088641755,0.030759068,0.5220075
attn_0_0_outputs,_,0.050783526,0.4240421,0.2586244
attn_0_0_outputs,_,0.49455804,-0.01876053,0.3583806
attn_0_0_outputs,_,-0.33381954,0.3532314,0.43503213
attn_0_0_outputs,_,-0.75875723,-0.9433844,0.12506303
attn_0_0_outputs,_,0.55117226,0.06699995,0.6862686
attn_0_0_outputs,_,-0.052410033,-0.050854735,1.2539954
attn_0_0_outputs,_,1.2820663,-0.048457105,-0.19809641
attn_0_0_outputs,_,0.116090134,0.4670508,0.5286815
attn_0_0_outputs,_,0.6719414,-0.16012658,-0.6109231
attn_0_0_outputs,_,0.24829888,-0.47024688,-0.035588875
attn_0_0_outputs,_,0.07598305,-0.36609444,-0.49922135
attn_0_0_outputs,_,0.33280492,-0.5873295,0.15918034
attn_0_0_outputs,_,0.3817889,0.5238758,-0.64266807
attn_0_0_outputs,_,0.4375157,-0.251151,-0.19053254
attn_0_0_outputs,_,0.47908783,-0.56547934,-0.476165
attn_0_0_outputs,_,-0.37404126,0.6710976,0.34460264
attn_0_0_outputs,_,0.8939128,-1.0035273,-0.6477063
attn_0_0_outputs,_,1.4201545,-0.8073544,-0.30540654
attn_0_0_outputs,_,-0.047944505,0.41560602,-0.68608963
attn_0_0_outputs,_,0.5884235,0.36299855,0.118622966
attn_0_0_outputs,_,0.40506443,-0.31212768,-0.06692336
attn_0_0_outputs,_,0.44771484,-0.8826807,0.21563421
attn_0_0_outputs,_,0.15855901,-1.5021447,-0.1179125
attn_0_0_outputs,_,-0.10801095,0.8033146,-0.21960746
attn_0_0_outputs,_,0.022427902,-0.55171806,-0.46422896
attn_0_0_outputs,_,-0.5469821,-0.80233335,-0.18174314
attn_0_0_outputs,_,0.3062295,0.03502711,0.2792454
attn_0_0_outputs,_,0.8007616,0.0109227495,0.5128842
attn_0_0_outputs,_,0.5820868,-0.060213365,-0.04834402
attn_0_0_outputs,_,0.3326555,-0.23158306,-0.3521626
attn_0_0_outputs,_,0.86465275,0.22186974,0.13383402
attn_0_0_outputs,_,0.8802654,-0.7566212,0.24493505
attn_0_0_outputs,_,0.31951767,-0.20635092,0.3913341
attn_0_0_outputs,_,1.0069249,0.016985806,-0.0694419
attn_0_0_outputs,_,0.01788311,-0.94467044,0.49788672
attn_0_0_outputs,_,0.7249846,0.54850686,0.016681258
attn_0_0_outputs,_,-0.037206072,-0.13858001,0.19321136
attn_0_0_outputs,_,-0.1565331,-0.29407242,-0.28182232
attn_0_0_outputs,_,-1.1505427,0.02288835,-0.1301144
attn_0_0_outputs,_,0.7053575,-0.65521824,0.28427023
attn_0_0_outputs,_,-0.3965987,-0.43864122,-0.043084495
attn_0_0_outputs,_,1.2056949,-0.14235412,0.7349333
attn_0_0_outputs,_,0.44419438,0.5426923,-0.51327366
attn_0_0_outputs,_,0.9134701,0.11307826,-0.32363284
attn_0_0_outputs,_,0.7597741,0.8690049,0.11385013
attn_0_0_outputs,_,-0.037922323,0.06972302,-0.7515556
attn_0_0_outputs,_,-1.0049245,-0.34977424,-0.46034345
attn_0_0_outputs,{,-0.18402019,-0.13278596,-0.058193866
attn_0_0_outputs,},-0.5136781,-0.6799311,-0.8234509
attn_0_1_outputs,(,-0.19291528,0.061366465,-0.48425075
attn_0_1_outputs,),0.78804475,0.29900423,-0.034979135
attn_0_1_outputs,<pad>,-0.07609038,1.1094345,0.4756588
attn_0_1_outputs,<s>,-0.3053342,0.3603469,0.012983304
attn_0_1_outputs,_,-0.8573768,-0.29265827,0.2469911
attn_0_1_outputs,_,0.37254995,0.26098278,0.104564235
attn_0_1_outputs,_,-0.09254065,0.3334218,-0.92835736
attn_0_1_outputs,_,-0.7846231,0.6651503,-0.22283547
attn_0_1_outputs,_,0.15903477,0.1285788,-0.38343975
attn_0_1_outputs,_,0.11691864,0.65672493,-0.24027081
attn_0_1_outputs,_,-0.24720706,0.64578056,-0.4737664
attn_0_1_outputs,_,-0.35078862,0.6707256,-0.012834655
attn_0_1_outputs,_,-0.17072241,0.09830751,-0.09665153
attn_0_1_outputs,_,0.3649793,0.84907013,-0.16019332
attn_0_1_outputs,_,0.38966307,0.6269989,-0.82814837
attn_0_1_outputs,_,-0.16356154,-0.057878826,0.81003594
attn_0_1_outputs,_,-0.4668231,-0.30568337,-1.7193745
attn_0_1_outputs,_,-0.52369964,0.686495,-0.09708328
attn_0_1_outputs,_,-0.23144855,0.42742497,0.3792541
attn_0_1_outputs,_,0.71868724,0.28568745,-0.37745717
attn_0_1_outputs,_,-0.17299356,0.7402273,-0.36794627
attn_0_1_outputs,_,-0.06774886,1.3615336,-0.71717006
attn_0_1_outputs,_,0.12168367,0.27037042,-0.14893629
attn_0_1_outputs,_,0.017204622,0.3058109,-0.20807174
attn_0_1_outputs,_,-0.596706,0.20544568,-0.15274598
attn_0_1_outputs,_,0.16825815,0.36711746,-0.97084546
attn_0_1_outputs,_,0.49401867,0.05728263,-0.022258516
attn_0_1_outputs,_,0.016309012,0.19358096,0.29723525
attn_0_1_outputs,_,-0.64661205,-0.20954502,-0.9495699
attn_0_1_outputs,_,-0.007834622,1.101361,0.4150837
attn_0_1_outputs,_,-1.0017667,1.0248531,0.4052526
attn_0_1_outputs,_,-0.55890274,0.022930482,0.27334812
attn_0_1_outputs,_,0.22100188,1.1865667,0.49634722
attn_0_1_outputs,_,0.10832387,-0.401542,0.80999684
attn_0_1_outputs,_,-0.75581974,-0.21308391,0.11017138
attn_0_1_outputs,_,-0.35355088,-0.6415663,0.12572652
attn_0_1_outputs,_,0.26377675,-0.96567804,-0.070591934
attn_0_1_outputs,_,0.626907,-0.26977026,0.046060786
attn_0_1_outputs,_,0.20589672,-0.21248922,-1.0953646
attn_0_1_outputs,_,-0.008721682,0.17350796,-0.06606181
attn_0_1_outputs,_,-0.52129173,0.3101865,0.47001183
attn_0_1_outputs,_,0.38473055,1.3678824,0.89003724
attn_0_1_outputs,_,0.37296498,-0.08578133,-0.2578695
attn_0_1_outputs,_,-0.53444344,0.07194137,0.7359553
attn_0_1_outputs,_,0.6560673,-0.19562683,0.012046521
attn_0_1_outputs,_,0.93145883,-0.28131014,-0.7579769
attn_0_1_outputs,_,-0.88888115,0.22108945,-0.42524487
attn_0_1_outputs,_,-0.03248706,0.22885476,-0.31621206
attn_0_1_outputs,_,-0.44103122,-0.54127824,0.95603323
attn_0_1_outputs,_,-0.09271578,-0.31311288,0.52221024
attn_0_1_outputs,_,-0.8539615,-0.41691485,0.68282706
attn_0_1_outputs,_,0.50016505,0.6505484,-0.4151493
attn_0_1_outputs,_,-0.11743948,-1.1759106,-0.28496695
attn_0_1_outputs,_,-0.7910742,-0.83055365,0.34820685
attn_0_1_outputs,_,0.4604624,-0.16813639,-1.4773844
attn_0_1_outputs,_,0.014742703,0.18039486,-0.26043358
attn_0_1_outputs,_,-0.55305916,-0.51369816,-1.5600535
attn_0_1_outputs,_,-0.02866669,0.57629436,-0.7888304
attn_0_1_outputs,_,-0.10753388,-0.33017543,-0.09786033
attn_0_1_outputs,_,0.22110127,0.35744447,0.6120365
attn_0_1_outputs,_,0.17643873,0.021746418,0.45678046
attn_0_1_outputs,_,-0.07234501,0.35304075,0.45646355
attn_0_1_outputs,_,-0.22514,-0.7422369,-0.13504204
attn_0_1_outputs,_,-0.13615568,0.7439166,-0.3982249
attn_0_1_outputs,_,0.18347771,-0.09977274,0.24311323
attn_0_1_outputs,_,-0.16477439,0.29812145,0.11679342
attn_0_1_outputs,_,-0.3285762,0.11545396,1.5137429
attn_0_1_outputs,_,0.46116635,-0.16096309,-0.17973079
attn_0_1_outputs,_,-0.69113266,-0.14756261,1.2787516
attn_0_1_outputs,_,0.0069120657,-0.42736986,0.40787968
attn_0_1_outputs,_,-0.017439205,0.50551516,-0.3557797
attn_0_1_outputs,_,-0.2792205,-0.051056836,0.338369
attn_0_1_outputs,_,-1.5355464,-0.29286024,-0.50093585
attn_0_1_outputs,_,0.0101203695,-0.10095587,0.40305492
attn_0_1_outputs,_,0.22749391,-0.17361473,1.0846689
attn_0_1_outputs,_,-0.8345842,-0.41095918,0.20526715
attn_0_1_outputs,_,-0.706454,0.09485712,0.004931046
attn_0_1_outputs,_,0.23838677,-0.6512192,0.25524813
attn_0_1_outputs,{,-0.2529522,0.21177089,-0.1579809
attn_0_1_outputs,},0.15692733,-0.44039175,-0.7731713
attn_0_2_outputs,(,0.020360308,0.9953674,-0.18979907
attn_0_2_outputs,),-0.55471665,-0.49245644,-0.5055859
attn_0_2_outputs,<pad>,-1.2319545,0.07941287,0.287921
attn_0_2_outputs,<s>,2.073184,-0.86074936,-0.9221765
attn_0_2_outputs,_,0.37143445,0.4768894,-0.63711774
attn_0_2_outputs,_,-0.62539226,0.18506205,-0.01845865
attn_0_2_outputs,_,-0.16730364,-0.5618194,0.31420553
attn_0_2_outputs,_,-0.11287898,-0.5304021,-0.29556057
attn_0_2_outputs,_,-0.75028116,-0.41861784,0.21405795
attn_0_2_outputs,_,-0.5394001,0.24840923,0.0064960755
attn_0_2_outputs,_,-0.7012277,0.046573587,-0.08617018
attn_0_2_outputs,_,0.36868274,0.9324399,-0.40983558
attn_0_2_outputs,_,-0.7864637,1.5343976,-0.04939251
attn_0_2_outputs,_,0.6302095,0.9747896,-0.0013615725
attn_0_2_outputs,_,-0.2631406,0.5183085,-0.4111687
attn_0_2_outputs,_,-0.09275018,1.1640568,-0.3265674
attn_0_2_outputs,_,-0.02497889,1.0709728,0.31289744
attn_0_2_outputs,_,0.20930503,0.78594625,1.3389192
attn_0_2_outputs,_,0.285424,0.769921,0.52140844
attn_0_2_outputs,_,-1.0221716,0.023867987,0.6119363
attn_0_2_outputs,_,-1.0218412,0.7301634,-0.14255187
attn_0_2_outputs,_,-0.6995996,1.3661793,-0.7897855
attn_0_2_outputs,_,-0.49014756,0.54316163,0.30508357
attn_0_2_outputs,_,-0.6889674,0.29921842,0.24282157
attn_0_2_outputs,_,-0.9404014,-0.15870655,-0.11774411
attn_0_2_outputs,_,-0.28678152,0.75244063,-0.26944715
attn_0_2_outputs,_,-0.11011616,-0.6843418,0.10182444
attn_0_2_outputs,_,-0.42143995,0.11690974,-0.32977208
attn_0_2_outputs,_,-0.7245227,0.15656218,-0.01851319
attn_0_2_outputs,_,0.3265641,0.92273045,0.06753392
attn_0_2_outputs,_,0.42972496,0.81033546,0.3249276
attn_0_2_outputs,_,-0.07931663,0.09131379,1.1669546
attn_0_2_outputs,_,-0.5359758,0.58205426,0.868058
attn_0_2_outputs,_,0.8181451,0.09445022,0.5633628
attn_0_2_outputs,_,0.031571034,-0.82138747,0.080358565
attn_0_2_outputs,_,0.41900995,-0.80053633,0.01907462
attn_0_2_outputs,_,-0.99625504,-0.3848419,0.31842524
attn_0_2_outputs,_,-0.21736404,0.325815,0.400948
attn_0_2_outputs,_,-0.04649039,0.5435586,-0.26413438
attn_0_2_outputs,_,-0.58290243,0.5283467,-0.52149457
attn_0_2_outputs,_,-0.79604566,0.3093295,0.8072624
attn_0_2_outputs,_,-0.33246702,0.792164,-0.7657172
attn_0_2_outputs,_,-0.31052184,-0.66075665,0.1468368
attn_0_2_outputs,_,0.8566614,-0.5159472,-0.35487217
attn_0_2_outputs,_,-0.1994451,0.18248437,0.5380515
attn_0_2_outputs,_,0.61283565,-0.6717398,-0.1491751
attn_0_2_outputs,_,-0.13530768,0.05621084,0.20089063
attn_0_2_outputs,_,0.3385538,0.08817947,0.12211028
attn_0_2_outputs,_,0.757416,-0.54328454,-0.094311535
attn_0_2_outputs,_,-0.3429288,-0.21335661,0.09030177
attn_0_2_outputs,_,-0.47727475,-0.19570927,0.085302755
attn_0_2_outputs,_,0.37949604,-0.42811593,-0.8630697
attn_0_2_outputs,_,0.38256395,-0.39125648,0.071775235
attn_0_2_outputs,_,0.56339306,-0.720237,-0.013792464
attn_0_2_outputs,_,-0.4225054,-0.23220919,0.97309595
attn_0_2_outputs,_,0.1513186,-0.830443,0.19824168
attn_0_2_outputs,_,-0.6776752,0.32726437,0.34007955
attn_0_2_outputs,_,0.3198494,0.69363505,-0.2704406
attn_0_2_outputs,_,0.91697866,0.731023,-0.52598965
