feature,value,F,P,T
attn_0_0_outputs,(,0.18326664,0.19625351,-0.24950053
attn_0_0_outputs,),0.6894949,-0.45566222,0.40623173
attn_0_0_outputs,<pad>,0.37771982,0.11947898,-0.67045116
attn_0_0_outputs,<s>,0.13306156,-0.06600043,0.3095245
attn_0_0_outputs,_,-1.6646161,1.0876484,-1.23809
attn_0_0_outputs,_,-0.23379032,1.9250308,-0.264178
attn_0_0_outputs,_,0.0890084,2.396906,-3.1033857
attn_0_0_outputs,_,-0.7497668,0.4204774,-1.5018686
attn_0_0_outputs,_,-0.7553758,1.1335247,-0.02908713
attn_0_0_outputs,_,-0.4070622,1.2499411,0.053200185
attn_0_0_outputs,_,-0.97432125,1.2037233,-2.2677028
attn_0_0_outputs,_,-1.0052974,0.73707217,-1.1366038
attn_0_0_outputs,_,-0.57129914,1.2179042,-1.3470712
attn_0_0_outputs,_,-0.9959077,0.65114313,-0.24862148
attn_0_0_outputs,_,-0.6818232,0.6061063,-1.9336922
attn_0_0_outputs,_,0.37346485,0.116152786,-1.4313395
attn_0_0_outputs,_,-0.34719846,0.49064305,-1.5793921
attn_0_0_outputs,_,-0.40255895,-0.1574626,-0.46828797
attn_0_0_outputs,_,0.36789024,0.77687764,-0.98208576
attn_0_0_outputs,_,-1.5514967,2.0945466,-1.997107
attn_0_0_outputs,_,-0.69701976,0.73150563,0.23385838
attn_0_0_outputs,_,-0.3391962,1.3554151,-0.39304748
attn_0_0_outputs,_,-0.08982819,1.6794184,-0.9846215
attn_0_0_outputs,_,-0.57090914,1.1755353,-0.49412555
attn_0_0_outputs,_,-0.78682226,0.45750484,0.2208381
attn_0_0_outputs,_,-1.1430514,0.4080307,1.3684832
attn_0_0_outputs,_,-0.9808158,0.95189786,-0.030666731
attn_0_0_outputs,_,-0.47725314,0.13747415,-1.999967
attn_0_0_outputs,_,0.72423065,0.46854928,-0.22601368
attn_0_0_outputs,_,-0.3364151,-0.1726231,-0.09377175
attn_0_0_outputs,_,0.34689224,0.19490588,-0.3480751
attn_0_0_outputs,_,0.4809322,-0.20026946,0.14665188
attn_0_0_outputs,_,0.10129557,-0.021332238,-1.1284553
attn_0_0_outputs,_,-0.04163117,-0.45721242,-0.24729529
attn_0_0_outputs,_,1.2238038,-1.050332,0.72101504
attn_0_0_outputs,_,-0.18404387,-0.1666242,-0.78601
attn_0_0_outputs,_,-0.016021643,0.106204666,-0.07802076
attn_0_0_outputs,_,1.1868879,-0.9153477,0.073717706
attn_0_0_outputs,_,-0.20319523,0.25305346,-1.3718042
attn_0_0_outputs,_,0.12724102,0.080510676,-0.27713928
attn_0_0_outputs,_,0.1075714,-0.2464727,0.15912132
attn_0_0_outputs,_,0.28577808,0.24651733,-0.13867277
attn_0_0_outputs,_,-0.62908506,-0.17974897,0.5094246
attn_0_0_outputs,_,0.4935915,-0.5661379,-0.5729657
attn_0_0_outputs,_,-0.031635515,-0.8745547,0.6443977
attn_0_0_outputs,_,-0.0045756698,-0.5671327,-0.3703417
attn_0_0_outputs,_,-0.27632764,-0.15113974,0.010875983
attn_0_0_outputs,_,0.62330717,-0.33300903,-0.22419536
attn_0_0_outputs,_,-0.29421338,0.2363246,0.78961533
attn_0_0_outputs,_,0.21252322,-0.048857324,-0.8316098
